url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh,description
https://www.kinonews.ru/movie_155/foxfire,Ложный огонь,1996,Foxfire,https://www.kinonews.ru/movie_155/foxfire,10.0,$269 300,0,['США'],['драма'],Аннет Хейвуд-Картер,"['Анджелина Джоли', 'Дженни Льюис']",,"Пять девочек-подростков сплачиваются после того, как они избили учителя, который их домогался. Их дружба действительно крепка, но методы ""воспитания"" других жестоки.Продолжительность: 102 мин."
https://www.kinonews.ru/movie_21951/fierce-people,Жестокие люди,2005,Fierce People,https://www.kinonews.ru/movie_21951/fierce-people,6.33,$266 455,0,"['США', 'Канада']",['драма'],Гриффин Данн,"['Кристен Стюарт', 'Антон Ельчин']",,"Молодой и талантливый врач Лиз для того, чтобы проводить больше времени с сыном соглашается на переезд. Приняв предложение одного из своих очень богатых клиентов,  она с сыном перебираются на его ранчо. Но кто-то, зная ее главную слабость, пытается убить сына Лиз. Чтобы все выяснить ей приходится организовать свое расследование и, понять, как жестоки окружающие их люди. "
https://www.kinonews.ru/movie_44426/black-death,Черная смерть,2010,Black Death,https://www.kinonews.ru/movie_44426/black-death,6.85,$265 318,$10 800 000,"['Германия', 'Великобритания']","['детектив', 'драма', 'исторический']",Кристофер Смит,"['Дэвид Уорнер', 'Шон Бин']",102 мин,"Разворачивающаяся в объятой бубонной чумой средневековой Англии история о приключениях молодого монаха, получившего задание отыскать человека, обладающего способностью возвращать к жизни умерших от чумы людей."
https://www.kinonews.ru/movie_5049/the-tv-set,Телевизор,2006,The TV Set,https://www.kinonews.ru/movie_5049/the-tv-set,7.0,$265 198,0,['США'],"['драма', 'комедия']",Джейк Кэздан,"['Дэвид Духовны', 'Сигурни Уивер']",," В эфир должна выйти пилотная серия шоу Майка, брат которого недавно покончил с собой. Возникают проблемы и недопонимании между журналистами и автором. Майк же пытается рассказать историю о важности поддержки семьи, доверии и оптимизме. Способно ли ТВ сделать настоящее реалити-шоу, способное помочь людям находить ответы на их вопросы? "
https://www.kinonews.ru/movie_17512/the-poseidon-adventure,"Приключения ""Посейдона""",1972,The Poseidon Adventure,https://www.kinonews.ru/movie_17512/the-poseidon-adventure,8.0,$264 850,$5 000 000,['США'],"['боевик', 'драма', 'приключения', 'триллер']","Роналд Ним, Ирвин Аллен","['Джин Хэкмен', 'Лесли Нильсен']",,Группа пассажиров пытает выжить и выбраться из перевернувшегося в море океанского лайнера. 
https://www.kinonews.ru/movie_35543/reise-der-hoffnung,Путешествие надежды,1990,Reise der Hoffnung,https://www.kinonews.ru/movie_35543/reise-der-hoffnung,0.0,$261 718,0,"['Великобритания', 'Швейцария', 'Турция']",['драма'],Ксавьер Коллер,"['Несметтин Кобаноглу', 'Нюр Сюрер']",,"Хайдар жил в одной из типовых деревень на востоке Турции. Однажды до него дошли красивые истории о счастливой жизни в Швейцарии. Мечты о новой жизни сподвигли крестьянина продать свой небольшой скот, старый дом, взять жени Мерием и отправиться в дорогу - за успехом. Хайдар собирался оставить детей на попечение родителей, но отец убедил его взять старшего сына, чтобы тот смог учить в Европе. Так началось долгое путешествие семьи Хайдар за счастьем. "
https://www.kinonews.ru/movie_29272/dancemaker,Балетмейстер,1998,Dancemaker,https://www.kinonews.ru/movie_29272/dancemaker,0.0,$256 780,0,['США'],['документальный'],Мэттью Даймонд,"['Эндрю Аснес', 'Рэйчел Берман Бенц']",,"Пол Тейлор совершил настоящий переворот в мире танца. В течение 40 лет своей работы он изобретал новые формы, искал новые движения. На сцене он творил чудеса. Но за кулисами, в гримерках танцоров окружал совсем другой мир, лишенный блеска и оваций."
https://www.kinonews.ru/movie_11608/beaufort,Бофор,2007,Beaufort,https://www.kinonews.ru/movie_11608/beaufort,0.0,$255 780,$2 500 000,['Израиль'],"['боевик', 'военный', 'драма']",Джозеф Седар,"['Алон Абутбул', 'Ади Адуан']",,"Фильм рассказывает о истории молодого командира блокпоста «Бофор» и его подчиненных, за несколько месяцев до того, как из Ливана Израиль вывел свои войска."
https://www.kinonews.ru/movie_18300/okno-v-parizh,Окно в Париж,1993,,https://www.kinonews.ru/movie_18300/okno-v-parizh,7.8,$255 088,0,"['Россия', 'Франция']","['драма', 'комедия', 'фантастика', 'фэнтези']",Юрий Мамин,"['Андрей Ургант', 'Валентин Букин']",,"Одной питерской коммуналке очень повезло. Во время празднования ""чего-то там"" герои обнаруживают, что их окно выходит не на берега Невы, а на берега самой Сены. Стоит нырнуть - и ты уже на просторах Франции. Недолго думая, питерцы начали совершать вылазки в другую страну. Вскоре и фрацузы смогли попадать на просторы северной столицы, но и впечатления от путешествий были прямо противоположны восхищениям русских гостей. Одни громили ночной Париж, другие пытались вытерпеть меланхолию Петербурга."
https://www.kinonews.ru/movie_27678/promises,Обещания,2001,Promises,,0.0,$247 948,0,['США'],['документальный'],"Джастин Шапиро, Карлос Боладо, Б.З. Голдберг","['Мойше Бар Эм', 'Б.З. Голдберг']",,"Новый взгляд на израильско-палестинский конфликт.После трехлетнего молчания (в период с 1995 по 1998 годы) и игнорирования, еврейские и мусульманские дети вновь могут общаться. Семь детей, выросших в Иерусалиме, расскажут семь историй."
https://www.kinonews.ru/movie_28932/braindead,Живая мертвечина,1992,Braindead,https://www.kinonews.ru/movie_28932/braindead,8.53,$242 623,$3 000 000,['Новая Зеландия'],"['комедия', 'триллер', 'ужасы', 'фэнтези']",Питер Джексон,"['Фрэн Уолш', 'Питер Джексон']",104 мин,"Лайонел был маменькиным сынком. Но однажды ему удалось вырваться из-под ее опеки: он влюбился. Мать не собиралась отступать, она мешала сыну, следила за ним. И во время одного из свиданий, когда мать шла за Лайонелом, ее укусил зомби. Превращение было неизбежным. И теперь Лайонел считал дни до воскрешения матери и восстания ее из мертвых, только он мог остановить зомби, жизни горожан были в его руках."
